#time meanCourantNo maxCourantNo Ndt
8 0.160333 0.208755 0.080039
16 0.16031 0.20307 0.0806626
24 0.160306 0.203507 0.0819639
32 0.160311 0.206394 0.0833114
40 0.160317 0.20726 0.0846743
48 0.160327 0.207278 0.0860247
56 0.160338 0.206754 0.0873316
64 0.160353 0.206669 0.0885751
72 0.160367 0.206881 0.0897267
80 0.160381 0.207015 0.0907714
88 0.160393 0.207292 0.0916874
96 0.160406 0.207633 0.0924616
104 0.160416 0.208159 0.093078
112 0.160427 0.208536 0.0935297
120 0.160439 0.209087 0.0938084
128 0.160452 0.209518 0.094685
136 0.160461 0.210084 0.0955056
144 0.160466 0.21043 0.0962074
152 0.160472 0.210889 0.0967799
160 0.160475 0.211137 0.0972145
168 0.160476 0.211468 0.0975058
176 0.160473 0.211602 0.0976508
184 0.160471 0.211796 0.0976502
192 0.160472 0.211819 0.0975071
200 0.160473 0.211887 0.0972289
208 0.160472 0.211811 0.0968252
216 0.160471 0.211772 0.0963096
224 0.16047 0.211723 0.096121
232 0.160468 0.211687 0.0961317
240 0.160465 0.211628 0.0960206
248 0.160463 0.211585 0.0957949
256 0.160459 0.21154 0.095464
264 0.160455 0.211518 0.0950405
272 0.160452 0.211508 0.0945395
280 0.160449 0.211522 0.0939784
288 0.160446 0.211556 0.0933759
296 0.160443 0.211664 0.092752
304 0.160441 0.211822 0.0921265
312 0.160441 0.211994 0.0915189
320 0.160441 0.212182 0.0909468
328 0.160441 0.212376 0.0904261
336 0.16044 0.212578 0.089969
344 0.160438 0.212778 0.0895849
352 0.160436 0.212975 0.0892791
360 0.160434 0.213163 0.0890534
368 0.160433 0.213339 0.0889056
376 0.160432 0.213498 0.0888307
384 0.160432 0.213636 0.0888207
392 0.160432 0.213753 0.0890201
400 0.160431 0.213846 0.089387
408 0.160431 0.213915 0.0897617
416 0.16043 0.213959 0.0901358
424 0.160429 0.213981 0.0905014
432 0.160428 0.213981 0.0908511
440 0.160427 0.213962 0.0911779
448 0.160427 0.213925 0.0914757
456 0.160426 0.213877 0.091739
464 0.160426 0.213816 0.091963
472 0.160427 0.21375 0.0921435
480 0.160429 0.213681 0.0922772
488 0.160432 0.213651 0.0923613
496 0.160436 0.213619 0.092394
504 0.16044 0.213593 0.0925427
512 0.160446 0.213569 0.0927075
520 0.160453 0.213553 0.0928269
528 0.160463 0.213542 0.0928984
536 0.160474 0.21354 0.0929207
544 0.160487 0.213542 0.0928932
552 0.160501 0.213553 0.0928159
560 0.160515 0.213567 0.09269
568 0.160529 0.213588 0.0925175
576 0.160542 0.21361 0.092356
584 0.160553 0.213637 0.0923372
592 0.160562 0.213664 0.0922698
600 0.16057 0.213692 0.0921547
608 0.160575 0.213718 0.0919938
616 0.160577 0.213745 0.09179
624 0.160578 0.213768 0.0916039
632 0.160579 0.213789 0.0915664
640 0.160578 0.213807 0.0914817
648 0.160579 0.213824 0.0913512
656 0.160581 0.213837 0.0911775
664 0.160583 0.213848 0.0911862
672 0.160585 0.213877 0.0911958
680 0.160586 0.213934 0.091159
688 0.160587 0.213991 0.091077
696 0.160587 0.214052 0.0909735
704 0.160587 0.214116 0.0910805
712 0.160587 0.214185 0.0911439
720 0.160587 0.214259 0.0911634
728 0.160588 0.21434 0.091139
736 0.160588 0.214426 0.0910718
744 0.160587 0.214595 0.0910118
752 0.160588 0.214774 0.0911255
760 0.160589 0.214962 0.0911988
768 0.16059 0.215155 0.091231
776 0.16059 0.215356 0.0912221
784 0.16059 0.21556 0.0911728
792 0.160589 0.215771 0.0911563
800 0.160586 0.215984 0.0912809
808 0.160584 0.216229 0.0913711
816 0.16058 0.216483 0.0914263
824 0.160577 0.216734 0.0914466
832 0.160574 0.216981 0.0914328
840 0.160572 0.217221 0.0913858
848 0.160571 0.217456 0.0913073
856 0.16057 0.217684 0.0913414
864 0.16057 0.217905 0.0914144
872 0.160571 0.218118 0.0914554
880 0.160571 0.218324 0.0914644
888 0.160572 0.218524 0.0914421
896 0.160574 0.218716 0.0913896
904 0.160576 0.218902 0.0913082
912 0.160578 0.219083 0.0911997
920 0.160581 0.21926 0.0910662
928 0.160583 0.219441 0.0909098
936 0.160585 0.219651 0.0907331
944 0.160587 0.219859 0.0905387
952 0.160589 0.220069 0.0903295
960 0.16059 0.220278 0.0902256
968 0.16059 0.220486 0.0901101
976 0.16059 0.220691 0.0899726
984 0.160589 0.220892 0.0898155
992 0.160589 0.221088 0.0896412
1000 0.160588 0.221278 0.0895261
1008 0.160587 0.221458 0.0893973
1016 0.160587 0.22163 0.0893364
1024 0.160587 0.221788 0.0893074
1032 0.160589 0.221933 0.0892516
