#time meanCourantNo maxCourantNo Ndt
8 0.160073 0.207932 0.0801174
16 0.160049 0.187495 0.0806067
24 0.160041 0.191209 0.0819054
32 0.16005 0.191793 0.0832606
40 0.160064 0.191379 0.0846101
48 0.160081 0.19231 0.0859462
56 0.160094 0.191381 0.0872381
64 0.160107 0.19234 0.0884662
72 0.160117 0.192158 0.0896023
80 0.160126 0.193033 0.0906316
88 0.160136 0.192918 0.0915329
96 0.160147 0.193795 0.0922932
104 0.160158 0.194116 0.0928973
112 0.160169 0.194891 0.0933383
120 0.16018 0.195267 0.0936084
128 0.160191 0.195877 0.0944142
136 0.1602 0.196201 0.0952126
144 0.160205 0.196608 0.0958944
152 0.16021 0.196827 0.0964493
160 0.160214 0.197036 0.0968692
168 0.160214 0.197122 0.097149
176 0.160213 0.197135 0.0972858
184 0.160211 0.197078 0.0972807
192 0.160213 0.196914 0.0971369
200 0.160214 0.196722 0.0968616
208 0.160214 0.196432 0.0964647
216 0.160214 0.19629 0.0959597
224 0.160214 0.195966 0.0958519
232 0.160213 0.195735 0.0958618
240 0.160212 0.195357 0.0957529
248 0.160211 0.195082 0.0955322
256 0.160209 0.194693 0.095209
264 0.160206 0.194414 0.0947957
272 0.160204 0.194078 0.0943071
280 0.160202 0.193789 0.0937602
288 0.160199 0.193464 0.0931734
296 0.160197 0.193246 0.0925664
304 0.160196 0.192978 0.0919589
312 0.160196 0.192811 0.0913704
320 0.160197 0.192605 0.090818
328 0.160197 0.19249 0.0903171
336 0.160196 0.192343 0.0898796
344 0.160195 0.192274 0.0895145
352 0.160193 0.192175 0.0892265
360 0.160191 0.192192 0.0890171
368 0.16019 0.192242 0.0888839
376 0.160189 0.192289 0.0888217
384 0.160189 0.192324 0.0888223
392 0.16019 0.192346 0.0890027
400 0.16019 0.192353 0.0893661
408 0.160189 0.19234 0.0897366
416 0.160189 0.19231 0.0901061
424 0.160188 0.192259 0.0904667
432 0.160187 0.192194 0.0908109
440 0.160186 0.192189 0.0911321
448 0.160185 0.192178 0.0914243
456 0.160185 0.192299 0.0916818
464 0.160185 0.192729 0.0919002
472 0.160186 0.19309 0.0920752
480 0.160188 0.193432 0.0922036
488 0.160191 0.193704 0.0922829
