#time meanCourantNo maxCourantNo Ndt
8 0.160005 0.214781 0.1081
16 0.160022 0.226542 0.10904
24 0.16004 0.237396 0.110506
32 0.160057 0.233951 0.11101
40 0.160073 0.237047 0.11058
48 0.160083 0.235034 0.10926
56 0.160093 0.237381 0.110736
64 0.160101 0.235618 0.112872
72 0.16011 0.237199 0.114566
80 0.160119 0.237132 0.115822
88 0.160131 0.239641 0.116641
96 0.160142 0.239915 0.117035
104 0.160152 0.24226 0.117014
112 0.160161 0.242928 0.116599
120 0.160172 0.245301 0.115809
128 0.160181 0.246069 0.114672
136 0.160189 0.248212 0.113216
144 0.160194 0.248896 0.111477
152 0.160199 0.250745 0.10949
160 0.160202 0.251192 0.107299
168 0.160202 0.252615 0.104944
176 0.160201 0.252699 0.102474
184 0.1602 0.253633 0.0999321
192 0.160201 0.253285 0.0985643
200 0.160203 0.253692 0.098062
208 0.160204 0.252885 0.0978045
216 0.160205 0.252779 0.09743
224 0.160206 0.251543 0.0969504
232 0.160206 0.250992 0.0967953
240 0.160205 0.249412 0.0968854
248 0.160205 0.248526 0.0968644
256 0.160203 0.246715 0.0967367
264 0.160201 0.245617 0.0965092
272 0.1602 0.243692 0.0961906
280 0.160198 0.242498 0.0957918
288 0.160195 0.240568 0.0954851
296 0.160194 0.23939 0.0955967
304 0.160192 0.23756 0.0955973
312 0.160192 0.2365 0.0954913
320 0.160192 0.234862 0.0952856
328 0.160192 0.234005 0.0949892
336 0.16019 0.232627 0.0946134
344 0.160188 0.232032 0.0941716
352 0.160186 0.23202 0.0936787
360 0.160183 0.233663 0.0936018
368 0.160182 0.234691 0.0934684
376 0.16018 0.236288 0.0932239
384 0.16018 0.237251 0.09288
392 0.16018 0.238726 0.0924512
400 0.16018 0.239553 0.091954
408 0.160179 0.240842 0.0914069
416 0.160179 0.241478 0.0912287
424 0.160178 0.24254 0.0909758
432 0.160177 0.242953 0.0906274
440 0.160177 0.243767 0.0907731
448 0.160176 0.243946 0.0910294
456 0.160176 0.244511 0.0912612
464 0.160176 0.244465 0.0914661
472 0.160177 0.2448 0.0916424
480 0.160179 0.244552 0.0917891
488 0.160182 0.24469 0.0919054
496 0.160186 0.244278 0.0919911
504 0.160191 0.244257 0.0920466
512 0.160197 0.243723 0.0921361
520 0.160204 0.243589 0.0922655
528 0.160214 0.244264 0.0923649
536 0.160225 0.245349 0.0924345
544 0.160238 0.245935 0.0924746
552 0.160252 0.246863 0.0924859
560 0.160266 0.247293 0.0924694
568 0.16028 0.248048 0.092426
576 0.160293 0.248315 0.0924496
584 0.160304 0.248895 0.0925086
592 0.160314 0.249001 0.0925385
600 0.160321 0.249414 0.0925401
608 0.160326 0.249369 0.0925143
616 0.160328 0.249629 0.0924624
624 0.16033 0.249451 0.0923854
632 0.16033 0.249577 0.0923346
640 0.16033 0.249285 0.0923696
648 0.160331 0.249298 0.0923762
656 0.160334 0.248914 0.092355
664 0.160336 0.248837 0.0923071
672 0.160339 0.248382 0.0922335
680 0.160341 0.248236 0.0921356
688 0.160342 0.24773 0.0921253
696 0.160342 0.247536 0.0921408
704 0.160343 0.247 0.0921283
712 0.160343 0.246775 0.0920884
720 0.160344 0.246227 0.0920222
728 0.160345 0.245989 0.0919309
736 0.160345 0.245443 0.0918538
744 0.160345 0.245207 0.0918798
752 0.160346 0.244678 0.0918778
760 0.160347 0.244457 0.0918484
768 0.160348 0.243954 0.0917925
776 0.160349 0.243758 0.0917112
784 0.160349 0.243292 0.0916058
792 0.160348 0.243127 0.0915777
800 0.160346 0.242703 0.0915883
808 0.160343 0.242575 0.0915718
816 0.160339 0.242195 0.091529
824 0.160336 0.242106 0.091461
832 0.160333 0.24177 0.0913691
840 0.160331 0.241719 0.0912755
848 0.16033 0.241427 0.0912466
856 0.16033 0.241411 0.0912442
864 0.16033 0.241159 0.091216
872 0.160331 0.241176 0.0912185
880 0.160332 0.24096 0.0912625
888 0.160333 0.241004 0.0912793
896 0.160335 0.240821 0.0912683
904 0.160338 0.240891 0.0912296
912 0.16034 0.240738 0.0911638
920 0.160343 0.240831 0.0910722
928 0.160346 0.240705 0.0909561
936 0.160349 0.240819 0.0909606
944 0.160351 0.240716 0.090965
952 0.160354 0.240845 0.0909424
960 0.160355 0.240761 0.0908931
968 0.160356 0.240899 0.0908179
976 0.160356 0.240825 0.090718
984 0.160356 0.240965 0.0905952
992 0.160356 0.240893 0.0905355
1000 0.160355 0.241026 0.0905194
1008 0.160355 0.240947 0.0904772
1016 0.160355 0.241064 0.0904096
1024 0.160355 0.24097 0.0903177
1032 0.160357 0.241062 0.0902032
1040 0.160359 0.240943 0.0901718
1048 0.160361 0.241 0.0901564
1056 0.160363 0.240846 0.0901165
1064 0.160365 0.240862 0.0900528
1072 0.160366 0.240672 0.0899665
1080 0.160367 0.240651 0.0899248
1088 0.160368 0.240433 0.0899297
1096 0.160369 0.240389 0.0899125
1104 0.16037 0.240163 0.0898734
1112 0.160371 0.240115 0.0898131
1120 0.160372 0.239895 0.0897403
1128 0.160372 0.239854 0.0897598
1136 0.160373 0.239648 0.0897601
1144 0.160375 0.239618 0.089741
1152 0.160377 0.239427 0.0897028
1160 0.16038 0.239411 0.0896462
1168 0.160382 0.239241 0.0895812
1176 0.160384 0.239247 0.0895954
1184 0.160386 0.239109 0.0895925
1192 0.160387 0.239144 0.0895727
1200 0.160387 0.239037 0.0895362
1208 0.160387 0.239095 0.0894836
1216 0.160386 0.239004 0.089416
1224 0.160386 0.239063 0.0893897
1232 0.160386 0.238966 0.089385
1240 0.160386 0.23901 0.0893653
1248 0.160387 0.238898 0.0893309
1256 0.160388 0.238925 0.0892825
1264 0.16039 0.238804 0.089221
1272 0.160391 0.238825 0.0891474
1280 0.160392 0.238706 0.0891303
1288 0.160393 0.238726 0.0891116
1296 0.160393 0.23861 0.0890799
1304 0.160393 0.238627 0.0890358
1312 0.160393 0.238507 0.0889802
1320 0.160394 0.238517 0.088914
1328 0.160394 0.238394 0.0888526
1336 0.160396 0.2384 0.0888355
1344 0.160398 0.238281 0.0888069
1352 0.1604 0.238292 0.0887674
1360 0.160401 0.238183 0.0887177
1368 0.160403 0.238202 0.0886584
1376 0.160405 0.238101 0.0885907
1384 0.160406 0.238124 0.0885635
1392 0.160408 0.238026 0.0885384
1400 0.16041 0.238047 0.0885035
1408 0.160413 0.23795 0.0884595
1416 0.160415 0.237969 0.0884069
1424 0.160417 0.237873 0.0883465
1432 0.160419 0.237891 0.0883401
1440 0.160421 0.237796 0.088347
1448 0.160422 0.237813 0.0883526
1456 0.160422 0.23772 0.0883571
1464 0.160421 0.237735 0.0883604
1472 0.160419 0.237644 0.0883628
1480 0.160417 0.23766 0.0883642
1488 0.160414 0.237571 0.0883647
1496 0.16041 0.237589 0.0883645
1504 0.160405 0.237506 0.0883636
1512 0.160399 0.237526 0.0883622
1520 0.160393 0.237448 0.0883603
1528 0.160385 0.237471 0.0883581
1536 0.160377 0.237397 0.0883556
1544 0.160369 0.237422 0.0883529
1552 0.16036 0.237352 0.0883502
1560 0.160352 0.237379 0.0883475
1568 0.160343 0.237312 0.0883449
1576 0.160334 0.23734 0.0883424
1584 0.160327 0.237277 0.0883402
1592 0.160319 0.237306 0.0883383
1600 0.160313 0.237245 0.0883368
1608 0.160308 0.237274 0.0883356
1616 0.160304 0.237216 0.0883349
1624 0.160301 0.237246 0.0883347
1632 0.160299 0.23719 0.0883349
1640 0.160297 0.23722 0.0883356
1648 0.160296 0.237165 0.0883368
1656 0.160295 0.237195 0.0883384
1664 0.160295 0.237142 0.0883406
1672 0.160295 0.237172 0.0883432
1680 0.160296 0.23712 0.0883463
1688 0.160297 0.237149 0.0883497
1696 0.160299 0.237099 0.0883536
1704 0.160302 0.237127 0.0883579
1712 0.160304 0.237077 0.0883625
1720 0.160307 0.237104 0.0883674
1728 0.16031 0.237054 0.0883726
1736 0.160312 0.23708 0.0883781
1744 0.160313 0.237031 0.0883837
1752 0.160314 0.237055 0.0883895
1760 0.160314 0.237006 0.0883955
1768 0.160312 0.237029 0.0884016
1776 0.160311 0.23698 0.0884077
1784 0.16031 0.237002 0.0884139
1792 0.160309 0.236953 0.0884201
1800 0.160309 0.236973 0.0884263
1808 0.160308 0.236924 0.0884325
1816 0.160308 0.236943 0.0884385
1824 0.160308 0.236893 0.0884445
1832 0.160308 0.23691 0.0884503
1840 0.160308 0.23686 0.088456
1848 0.160308 0.236875 0.0884615
1856 0.160308 0.236824 0.0884668
1864 0.160307 0.236836 0.0884718
1872 0.160306 0.236783 0.0884767
1880 0.160305 0.236792 0.0884813
